Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	15:15 3/0/2016	136
Tom	15:15 3/0/2016	112
Lana	15:16 3/0/2016	127
Lana	15:16 3/0/2016	142
Tom	15:16 3/0/2016	136
Lana	15:16 3/0/2016	109
Tom	15:16 3/0/2016	153
Mike	15:17 3/0/2016	120
Tom	15:17 3/0/2016	126
Mike	15:17 3/0/2016	92
Jim	15:17 3/0/2016	175
Lana	15:17 3/0/2016	105
Lana	15:17 3/0/2016	101
Jim	15:1 4/0/2016	87
Lana	15:1 4/0/2016	113
TomH	15:1 4/0/2016	97
Tom	15:1 4/0/2016	93
Jim	15:1 4/0/2016	144
Jim	15:19 4/0/2016	133
Jim	15:45 4/0/2016	120
Tom	15:53 4/0/2016	107
Mike	15:53 4/0/2016	147
Lana	15:54 4/0/2016	118
Jim	20:31 4/2/2016	116
Lana	20:31 4/2/2016	90
Jimbob	20:31 4/2/2016	112
Tom	20:33 4/2/2016	130
TomH	20:33 4/2/2016	122
Mike	12:58 5/8/2016	168
Jim	12:58 5/8/2016	132
Tom	12:58 5/8/2016	173
Mike	13:48 5/8/2016	147
Jim	13:48 5/8/2016	136
Tom	13:48 5/8/2016	109
Jim	13:51 5/8/2016	170
